msa,pop10,pop11,pop12,pop13,pop14,pop15
"Dothan, AL",145870,146661,147610,147568,147993,148171
"Dover, DE",162990,165242,167611,169385,171773,173533
"Dubuque, IA",93924,94612,95227,95981,96587,97125
"Duluth, MN-WI",279746,279849,279526,279781,279983,279601
"Durham-Chapel Hill, NC",508123,516010,525221,533829,543217,552493
"East Stroudsburg, PA",169906,169876,168579,167310,167242,166397
"Eau Claire, WI",161652,162850,163925,164951,165085,165636
"El Centro, CA",174750,176372,177557,177579,179332,180191
"Elizabethtown-Fort Knox, KY",149940,151330,150476,151573,151895,148604
"Elkhart-Goshen, IN",197471,198509,199229,200476,201739,203474
"Elmira, NY",88969,88997,89277,88523,87469,87071
"El Paso, TX",807102,823426,835201,835769,838756,838972
"Erie, PA",280774,281116,281076,280117,278936,278045
"Eugene, OR",351966,353637,354610,355650,358506,362895
"Evansville, IN-KY",311817,312642,313389,314454,315137,315693
"Fairbanks, AK",98289,98146,100370,101007,99371,99631
"Fargo, ND-MN",209419,213082,217727,223695,228557,233836
"Farmington, NM",130140,128016,128359,126564,123990,118737
"Fayetteville, NC",367623,373337,373605,377479,377458,376509
"Fayetteville-Springdale-Rogers, AR-MO",465802,474343,483158,492352,502064,513559
"Flagstaff, AZ",134626,134182,135978,136612,137637,139097
"Flint, MI",425057,421784,418110,415695,412934,410849
"Florence, SC",205683,205714,206156,206186,206756,206448
"Florence-Muscle Shoals, AL",147261,147061,147152,147200,147543,146950
"Fond du Lac, WI",101712,101898,101856,101865,102010,101973
"Fort Collins, CO",300524,305314,310970,316618,324657,333577
"Fort Smith, AR-OK",280681,281006,280810,280041,279821,280241
"Fort Wayne, IN",416912,419838,421851,424448,426940,429820
"Fresno, CA",932462,940971,947713,955217,964983,974861
"Gadsden, AL",104442,104236,104235,103852,103452,103057
"Gainesville, FL",264619,266674,268547,270173,273495,277163
"Gainesville, GA",180003,182920,185012,187588,190525,193535
"Gettysburg, PA",101472,101657,101572,101525,101787,102295
"Glens Falls, NY",128976,128776,128462,127890,127356,126918
"Goldsboro, NC",122892,124028,124516,124597,124502,124132
"Grand Forks, ND-MN",98616,98187,99198,101020,101779,102449
"Grand Island, NE",82057,82698,83461,84099,84751,85066
"Grand Junction, CO",146489,147372,147720,147676,147890,148513
"Grand Rapids-Wyoming, MI",989524,996733,1006814,1018291,1028962,1038583
"Grants Pass, OR",82868,82641,82791,83263,83606,84745
"Great Falls, MT",81533,81772,81767,82367,82268,82278
"Greeley, CO",254166,258704,264117,270368,276379,285174
"Green Bay, WI",306736,308771,311081,312514,314498,316519
"Greensboro-High Point, NC",725068,730175,736015,741422,747397,752157
"Greenville, NC",168822,170782,172924,174339,175103,175842
"Greenville-Anderson-Mauldin, SC",825782,833560,842067,850124,862533,874869
"Gulfport-Biloxi-Pascagoula, MS",371451,375726,379022,382558,386297,389255
"Hagerstown-Martinsburg, MD-WV",252384,254525,256233,257910,259817,261486
"Hammond, LA",121491,122644,123672,125413,126948,128755
"Hanford-Corcoran, CA",152367,151969,151201,150748,150108,150965
"Harrisburg-Carlisle, PA",550239,551895,554913,558041,561134,565006
"Harrisonburg, VA",125415,126873,128479,128986,130395,131131
"Hartford-West Hartford-East Hartford, CT",1214139,1216195,1214591,1214949,1213225,1211324
"Hattiesburg, MS",143293,145263,146665,147760,148168,148839
"Hickory-Lenoir-Morganton, NC",365196,364234,363389,363016,362223,362510
"Hilton Head Island-Bluffton-Beaufort, SC",187832,189363,193362,197571,202137,207413
"Hinesville, GA",77369,80365,81550,80648,82317,80198
"Homosassa Springs, FL",141266,139755,139256,138985,139217,141058
"Hot Springs, AR",96128,96603,96798,97006,97185,97177
"Houma-Thibodaux, LA",208224,208631,208789,209911,211454,212297
"Houston-The Woodlands-Sugar Land, TX",5948253,6059752,6185988,6332710,6497864,6656947
"Huntington-Ashland, WV-KY-OH",365075,364820,364860,364087,363153,361580
"Huntsville, AL",419301,425131,430017,435590,440724,444752
"Idaho Falls, ID",133824,134956,136301,137039,138126,139747
"Indianapolis-Carmel-Anderson, IN",1892614,1910355,1929052,1953277,1971861,1988817
"Iowa City, IA",152988,155562,158842,161854,164508,166498
"Ithaca, NY",101774,102120,103133,104367,104727,104926
"Jackson, MI",160169,159683,160137,159858,159624,159494
"Jackson, MS",568799,574309,576779,577150,578335,578777
"Jackson, TN",130009,129778,130326,130653,130103,129682
"Jacksonville, FL",1349083,1362032,1379209,1396267,1421004,1449481
"Jacksonville, NC",179595,177857,183769,185560,185267,186311
"Janesville-Beloit, WI",160234,159999,160288,160634,161267,161448
"Jefferson City, MO",149955,150361,150350,150586,150847,151145
"Johnson City, TN",198973,199767,200504,200565,200148,200648
"Johnstown, PA",143468,142584,141540,138835,137534,136411
"Jonesboro, AR",121248,122821,124232,125828,126821,128394
"Joplin, MO",175871,176676,174494,175262,176162,177211
"Kahului-Wailuku-Lahaina, HI",155068,156891,158599,161036,163487,164726
"Kalamazoo-Portage, MI",326909,328370,330227,332493,334085,335340
"Kankakee, IL",113450,113527,112988,112239,111473,110879
"Kansas City, MO-KS",2013703,2025082,2039356,2055178,2071283,2087471
"Kennewick-Richland, WA",255648,263758,268365,271158,274469,279116
"Killeen-Temple, TX",408337,412674,420073,423021,425143,431032
"Kingsport-Bristol-Bristol, TN-VA",309584,309108,308862,308189,307723,307120
"Kingston, NY",182421,182676,181839,181054,180787,180143
"Knoxville, TN",838767,842853,847824,851632,857067,861424
"Kokomo, IN",82731,82851,82900,82825,82693,82556
"La Crosse-Onalaska, WI-MN",133880,134193,135558,135967,136595,136985
"Lafayette, LA",467612,470712,474247,479881,485411,490488
"Lafayette-West Lafayette, IN",202087,204493,207355,210108,212271,214363
"Lake Charles, LA",200009,200507,201128,202182,203544,205605
"Lake Havasu City-Kingman, AZ",200374,202671,203232,202839,203331,204737
"Lakeland-Winter Haven, FL",603192,609544,615584,622895,635264,650092
"Lancaster, PA",520357,523692,526879,530238,533645,536624
"Lansing-East Lansing, MI",464244,466125,466872,468087,470322,472276
"Laredo, TX",251337,255639,260015,263861,267018,269721
"Las Cruces, NM",210202,212982,214428,214051,214059,214295
"Las Vegas-Henderson-Paradise, NV",1953378,1967290,1998204,2028421,2069146,2114801
"Lawrence, KS",111242,112415,113255,114651,116463,118053
"Lawton, OK",131563,132226,132754,131240,131352,130644
"Lebanon, PA",133673,134483,135528,135607,136196,137067
"Lewiston, ID-WA",61045,61358,61444,62022,62120,62153
"Lewiston-Auburn, ME",107706,107403,107558,107365,107408,107233
"Lexington-Fayette, KY",473464,478667,484921,489894,494982,500535
"Lima, OH",106405,105963,105329,105216,105048,104425
"Lincoln, NE",302985,306728,310601,314642,319840,323578
"Little Rock-North Little Rock-Conway, AR",702416,710842,717780,724227,728960,731612
"Logan, UT-ID",126160,127701,128795,130128,131334,133857
"Longview, TX",214732,215934,216722,216425,216795,217781
"Longview, WA",102417,102375,101840,101792,102214,103468
"Los Angeles-Long Beach-Anaheim, CA",12843875,12952686,13059779,13165355,13254397,13340068
"Louisville/Jefferson County, KY-IN",1237810,1244591,1252418,1263092,1271172,1278413
"Lubbock, TX",292203,295384,297967,301580,306680,311154
"Lynchburg, VA",253054,254196,255715,256934,258151,259950
"Macon, GA",232260,232780,232804,231316,230591,230096
"Madera, CA",151125,152089,152160,152125,154562,154998
"Madison, WI",606557,613926,620675,627739,634364,641385
"Manchester-Nashua, NH",401016,401758,402641,403444,405339,406678
"Manhattan, KS",93319,95366,98627,98175,97524,98545
"Mankato-North Mankato, MN",96840,97318,98014,97838,98754,99134
"Mansfield, OH",124173,123076,122600,122263,121914,121707
"McAllen-Edinburg-Mission, TX",779143,795272,807776,819173,831561,842304
"Medford, OR",203413,204761,206336,207998,210151,212567
"Memphis, TN-MS-AR",1326410,1332573,1340522,1341548,1342914,1344127
"Merced, CA",256832,259784,261788,263312,266087,268455
"Miami-Fort Lauderdale-West Palm Beach, FL",5585605,5706159,5788070,5861337,5937100,6012331
"Michigan City-La Porte, IN",111454,111223,111223,111376,111695,110884
"Midland, MI",83664,83761,83660,83588,83479,83632
"Midland, TX",141806,145044,152178,157326,161440,166718
"Milwaukee-Waukesha-West Allis, WI",1556715,1561467,1567495,1571207,1574115,1575747
"Minneapolis-St. Paul-Bloomington, MN-WI",3355540,3389626,3423250,3460826,3495656,3524583
"Missoula, MT",109455,110160,111077,111731,112681,114181
"Mobile, AL",413332,413062,413750,414121,414926,415395
"Modesto, CA",515334,518282,522097,526119,531951,538388
"Monroe, LA",176798,177383,177800,178466,178622,179238
"Monroe, MI",151945,151535,150878,150253,149945,149568
"Montgomery, AL",375123,377880,375745,373646,373256,373792
"Morgantown, WV",130337,132310,134433,135635,136835,138176
"Morristown, TN",114166,114753,115007,115366,115674,116642
"Mount Vernon-Anacortes, WA",117004,117768,118032,118745,120325,121846
"Muncie, IN",117692,117824,117364,117435,117201,116852
"Muskegon, MI",171922,169985,170129,172213,172300,172790
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",378697,385691,394006,404441,417177,431964
"Napa, CA",136810,137998,139055,140413,141551,142456
"Naples-Immokalee-Marco Island, FL",322683,327742,332515,339537,348355,357305
"Nashville-Davidson-Murfreesboro-Franklin, TN",1675972,1698475,1727473,1759034,1793910,1830345
"New Bern, NC",127120,128261,128637,127515,127333,126245
"New Haven-Milford, CT",863401,863977,863921,862515,861238,859470
"New Orleans-Metairie, LA",1195613,1214065,1228059,1241508,1251962,1262888
"New York-Newark-Jersey City, NY-NJ-PA",19601147,19756397,19871785,19994144,20095119,20182305
"Niles-Benton Harbor, MI",156792,156510,156015,155363,155299,154636
"North Port-Sarasota-Bradenton, FL",703366,708805,719982,732334,748795,768918
"Norwich-New London, CT",274067,273211,274394,273716,272743,271863
"Ocala, FL",331421,332272,334094,335688,338749,343254
"Ocean City, NJ",97263,96597,96447,95896,95359,94727
"Odessa, TX",137078,139733,144552,149666,154399,159436
"Ogden-Clearfield, UT",599800,606094,612852,622524,632295,642850
"Oklahoma City, OK",1257950,1276810,1298118,1321040,1337619,1358452
"Olympia-Tumwater, WA",253067,256529,258838,262666,266048,269536
"Omaha-Council Bluffs, NE-IA",868170,877024,885973,896024,905267,915312
"Orlando-Kissimmee-Sanford, FL",2139565,2176212,2226601,2272395,2326729,2387138
"Oshkosh-Neenah, WI",167059,167630,168717,169486,169639,169546
"Owensboro, KY",114777,115329,116002,116408,116507,117463
"Oxnard-Thousand Oaks-Ventura, CA",825298,831130,835416,840964,846119,850536
"Palm Bay-Melbourne-Titusville, FL",543966,544323,547495,551148,556902,568088
"Panama City, FL",185061,185312,187589,190649,194635,197506
"Parkersburg-Vienna, WV",92761,92629,92400,92361,92278,92332
"Pensacola-Ferry Pass-Brent, FL",451118,455372,462565,468479,472278,478043
"Peoria, IL",378947,379688,380408,381834,379784,378018
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5971463,5997102,6021349,6036356,6053720,6069875
"Phoenix-Mesa-Scottsdale, AZ",4204981,4250001,4327809,4400688,4486543,4574531
"Pine Bluff, AR",100083,99020,97375,95726,94783,93696
"Pittsburgh, PA",2356988,2360162,2361815,2361518,2358096,2353045
"Pittsfield, MA",131278,130529,130171,129345,128565,127828
"Pocatello, ID",83026,83584,83792,83430,83471,83744
"Portland-South Portland, ME",513892,516087,518249,520290,523546,526295
"Portland-Vancouver-Hillsboro, OR-WA",2232447,2260445,2288850,2314482,2348607,2389228
"Port St. Lucie, FL",425243,428411,432438,437773,444495,454846
"Prescott, AZ",211122,211135,212468,215271,218852,222255
"Providence-Warwick, RI-MA",1602393,1601082,1603402,1605040,1609533,1613070
"Provo-Orem, UT",530270,540877,550421,562697,571990,585799
"Pueblo, CO",159520,160187,160816,161240,161759,163591
"Punta Gorda, FL",159947,159641,162831,164892,168437,173115
"Racine, WI",195443,194965,194639,194807,194986,195080
"Raleigh, NC",1137445,1163234,1188974,1214747,1243035,1273568
"Rapid City, SD",135064,136369,138804,141367,143625,144134
"Reading, PA",411984,412715,413516,413965,414360,415271
"Redding, CA",177317,177969,178421,179041,179747,179533
"Reno, NV",426130,428970,433087,437731,444062,450890
"Richmond, VA",1210265,1219768,1233773,1246499,1259685,1271334
"Riverside-San Bernardino-Ontario, CA",4243928,4301633,4347082,4387415,4438715,4489159
"Roanoke, VA",308659,309391,310880,312557,313691,314560
"Rochester, MN",207173,208507,209580,211620,212672,213873
"Rochester, NY",1080285,1082621,1083192,1084332,1083678,1081954
"Rockford, IL",349224,347864,345809,344746,342367,340663
