statefips,countyfips,state,county,pop10,pop11,pop12,pop13,pop14,pop15
02,230,Alaska,Skagway Municipality,965,958,991,1010,1038,1057
02,240,Alaska,Southeast Fairbanks Census Area,7070,7144,7181,7004,6978,6839
02,261,Alaska,Valdez-Cordova Census Area,9659,9731,9727,9771,9493,9362
02,275,Alaska,Wrangell City and Borough,2370,2385,2401,2408,2360,2382
02,282,Alaska,Yakutat City and Borough,662,651,653,636,634,613
02,290,Alaska,Yukon-Koyukuk Census Area,5588,5731,5731,5661,5563,5533
04,000,Arizona,Arizona,6408208,6468732,6553262,6630799,6728783,6828065
04,001,Arizona,Apache County,71766,72387,72946,71953,71858,71474
04,003,Arizona,Cochise County,131809,132996,131888,129605,127321,126427
04,005,Arizona,Coconino County,134626,134182,135978,136612,137637,139097
04,007,Arizona,Gila County,53544,53473,53031,53025,53139,53159
04,009,Arizona,Graham County,37137,37081,36946,37386,37958,37666
04,011,Arizona,Greenlee County,8339,8589,8768,8908,9323,9529
04,012,Arizona,La Paz County,20446,20479,20351,20377,20314,20152
04,013,Arizona,Maricopa County,3825597,3871957,3945460,4015328,4090022,4167947
04,015,Arizona,Mohave County,200374,202671,203232,202839,203331,204737
04,017,Arizona,Navajo County,107715,107429,107033,107424,108119,108277
04,019,Arizona,Pima County,981870,988024,992973,997418,1004244,1010025
04,021,Arizona,Pinal County,379384,378044,382349,385360,396521,406584
04,023,Arizona,Santa Cruz County,47410,47657,47464,47120,46661,46461
04,025,Arizona,Yavapai County,211122,211135,212468,215271,218852,222255
04,027,Arizona,Yuma County,197069,202628,202375,202173,203483,204275
05,000,Arkansas,Arkansas,2922394,2938538,2949499,2957957,2966835,2978204
05,001,Arkansas,Arkansas County,19014,18883,18984,18791,18564,18433
05,003,Arkansas,Ashley County,21831,21651,21491,21238,20926,20838
05,005,Arkansas,Baxter County,41538,41273,41066,40965,40842,41053
05,007,Arkansas,Benton County,223010,227899,232973,237580,242868,249672
05,009,Arkansas,Boone County,36897,37045,37328,37387,37152,37222
05,011,Arkansas,Bradley County,11486,11450,11280,11145,11061,11094
05,013,Arkansas,Calhoun County,5338,5286,5306,5214,5188,5229
05,015,Arkansas,Carroll County,27544,27449,27575,27725,27722,27704
05,017,Arkansas,Chicot County,11793,11680,11479,11360,11217,11027
05,019,Arkansas,Clark County,22947,22944,22811,22666,22699,22633
05,021,Arkansas,Clay County,16050,15829,15573,15312,15176,15109
05,023,Arkansas,Cleburne County,25999,25924,25807,25695,25664,25467
05,025,Arkansas,Cleveland County,8686,8664,8611,8538,8424,8311
05,027,Arkansas,Columbia County,24747,24685,24427,24305,24102,24114
05,029,Arkansas,Conway County,21244,21147,21205,21151,21030,21019
05,031,Arkansas,Craighead County,96724,98390,99953,101678,102671,104354
05,033,Arkansas,Crawford County,61980,61830,61916,61622,61670,61703
05,035,Arkansas,Crittenden County,50948,50514,50050,49738,49558,48963
05,037,Arkansas,Cross County,17832,17739,17646,17479,17187,17284
05,039,Arkansas,Dallas County,8068,8080,7979,7922,7757,7604
05,041,Arkansas,Desha County,12964,12702,12562,12450,12215,11965
05,043,Arkansas,Drew County,18656,18715,18770,18708,18729,18778
05,045,Arkansas,Faulkner County,114057,116308,118566,119409,120878,121552
05,047,Arkansas,Franklin County,18128,17994,17946,17924,17766,17702
05,049,Arkansas,Fulton County,12216,12289,12248,12242,12139,12204
05,051,Arkansas,Garland County,96128,96603,96798,97006,97185,97177
05,053,Arkansas,Grant County,17890,17958,18037,18059,18115,18102
05,055,Arkansas,Greene County,42188,42733,43168,43082,43729,44196
05,057,Arkansas,Hempstead County,22602,22513,22359,22408,22317,22084
05,059,Arkansas,Hot Spring County,33128,33033,33373,33413,33333,33426
05,061,Arkansas,Howard County,13799,13819,13687,13507,13460,13300
05,063,Arkansas,Independence County,36806,36831,36937,36879,37061,37052
05,065,Arkansas,Izard County,13684,13578,13516,13374,13488,13445
05,067,Arkansas,Jackson County,18049,17848,17639,17655,17503,17338
05,069,Arkansas,Jefferson County,77323,76024,74617,73159,72377,71565
05,071,Arkansas,Johnson County,25553,25689,25901,25905,26013,26141
05,073,Arkansas,Lafayette County,7636,7541,7441,7245,7128,6996
05,075,Arkansas,Lawrence County,17501,17285,17040,17058,16985,16779
05,077,Arkansas,Lee County,10374,10270,10153,9969,9787,9650
05,079,Arkansas,Lincoln County,14074,14332,14147,14029,13982,13820
05,081,Arkansas,Little River County,13137,12955,12910,12734,12531,12472
05,083,Arkansas,Logan County,22315,22285,22007,22078,21919,21714
05,085,Arkansas,Lonoke County,68711,69437,70102,70783,71488,71645
05,087,Arkansas,Madison County,15693,15689,15631,15701,15722,15767
05,089,Arkansas,Marion County,16660,16652,16613,16440,16401,16185
05,091,Arkansas,Miller County,43540,43746,43637,43430,43537,43908
05,093,Arkansas,Mississippi County,46389,46039,45550,44711,44282,43738
05,095,Arkansas,Monroe County,8123,8065,7838,7663,7598,7399
05,097,Arkansas,Montgomery County,9491,9386,9322,9216,9089,8970
05,099,Arkansas,Nevada County,8974,9008,8908,8788,8703,8558
05,101,Arkansas,Newton County,8329,8277,8086,8076,7910,7913
05,103,Arkansas,Ouachita County,26076,25718,25393,24960,24789,24358
05,105,Arkansas,Perry County,10455,10394,10336,10340,10239,10189
05,107,Arkansas,Phillips County,21668,21401,20753,20388,19901,19513
05,109,Arkansas,Pike County,11271,11236,11263,11116,10995,10824
05,111,Arkansas,Poinsett County,24524,24431,24279,24150,24150,24040
05,113,Arkansas,Polk County,20668,20561,20437,20353,20254,20216
05,115,Arkansas,Pope County,62108,62629,62601,62483,63047,63390
05,117,Arkansas,Prairie County,8715,8579,8460,8366,8315,8291
05,119,Arkansas,Pulaski County,383628,386827,388984,391352,392490,392664
05,121,Arkansas,Randolph County,17966,17977,17854,17624,17550,17469
05,123,Arkansas,St. Francis County,28182,27961,27898,27300,26977,26589
05,125,Arkansas,Saline County,107675,109918,111755,114284,115750,117460
05,127,Arkansas,Scott County,11270,11244,11007,10905,10683,10513
05,129,Arkansas,Searcy County,8180,8069,7991,7981,7916,7869
05,131,Arkansas,Sebastian County,125784,126916,127453,127225,126990,127780
05,133,Arkansas,Sevier County,17141,17176,17168,17317,17388,17290
05,135,Arkansas,Sharp County,17279,17277,17066,17098,16923,16912
05,137,Arkansas,Stone County,12393,12558,12604,12490,12450,12456
05,139,Arkansas,Union County,41556,41358,40868,40620,40175,40144
05,141,Arkansas,Van Buren County,17307,17199,17168,16994,16880,16771
05,143,Arkansas,Washington County,204026,207882,211637,216480,220682,225477
05,145,Arkansas,White County,77333,78133,78680,78685,78643,79161
05,147,Arkansas,Woodruff County,7240,7189,7066,7037,6884,6741
05,149,Arkansas,Yell County,22155,21939,21809,21797,21916,21713
06,000,California,California,37334079,37700034,38056055,38414128,38792291,39144818
06,001,California,Alameda County,1513754,1533052,1556952,1583845,1612850,1638215
06,003,California,Alpine County,1159,1111,1126,1144,1107,1110
06,005,California,Amador County,37873,37538,37099,36591,36744,37001
06,007,California,Butte County,219977,220019,221205,222154,224033,225411
06,009,California,Calaveras County,45464,45101,44755,44574,44575,44828
06,011,California,Colusa County,21446,21389,21370,21389,21351,21482
06,013,California,Contra Costa County,1052921,1066636,1079290,1095959,1111710,1126745
06,015,California,Del Norte County,28566,28468,28201,27821,27194,27254
06,017,California,El Dorado County,181148,180905,180579,181480,183050,184452
06,019,California,Fresno County,932462,940971,947713,955217,964983,974861
06,021,California,Glenn County,28110,28199,27955,27943,28030,28017
06,023,California,Humboldt County,135026,135267,134703,134640,134831,135727
06,025,California,Imperial County,174750,176372,177557,177579,179332,180191
06,027,California,Inyo County,18513,18399,18405,18403,18396,18260
06,029,California,Kern County,841682,849949,856576,865787,874190,882176
